url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway,throw_inshome,throw_insaway
https://www.scoreboard.com/game/YPGyA1Ki/#match-summary,17,Paderborn,Eintracht Frankfurt,2,1,Home,2,0,Home,52,48,9,9,3,1,4,6,2,2,5,5,0,4,0,0,1,1,5,5,0.0,1.0,213.0,183.0,10.0,9.0,47,66,21,28,,,,,,
https://www.scoreboard.com/game/xM1yc0OC/#match-summary,8,FC Koln,Paderborn,3,0,Home,1,0,Home,47,53,9,3,1,0,4,2,4,1,5,4,5,3,1,1,0,0,3,3,,,206.0,253.0,19.0,12.0,47,74,30,27,,,162.0,219.0,,
https://www.scoreboard.com/game/nTf6fMK4/#match-summary,17,Bayern Munich,Wolfsburg,2,0,Home,0,0,Draw,71,29,10,4,5,2,3,1,2,1,8,5,7,2,3,2,2,5,2,4,,,319.0,137.0,10.0,10.0,75,45,41,9,,,,,,
https://www.scoreboard.com/game/6yA6f137/#match-summary,15,Dusseldorf,RB Leipzig,0,3,Away,0,1,Away,29,71,3,9,0,2,2,5,1,2,5,6,1,4,0,0,1,0,6,4,0.0,1.0,122.0,403.0,8.0,6.0,34,74,11,24,,,,,,
https://www.scoreboard.com/game/IB3yhNaa/#match-summary,23,Freiburg,Dusseldorf,0,2,Away,0,1,Away,56,44,3,5,2,2,0,3,1,0,6,7,0,3,2,1,1,2,6,6,0.0,2.0,243.0,186.0,3.0,10.0,58,57,15,19,,,,,,
https://www.scoreboard.com/game/M9D6DzRq/#match-summary,19,Werder Bremen,Hoffenheim,0,3,Away,0,0,Draw,55,45,6,3,0,1,3,2,3,0,9,7,3,2,1,0,1,0,7,9,1.0,2.0,286.0,239.0,7.0,5.0,68,60,38,15,,,,,,
https://www.scoreboard.com/game/tjGu9LZc/#match-summary,17,RB Leipzig,Augsburg,3,1,Home,0,1,Away,76,24,8,4,3,1,5,1,0,2,6,9,4,2,4,0,0,3,4,5,0.0,1.0,357.0,114.0,6.0,12.0,97,30,46,11,,,,,,
https://www.scoreboard.com/game/S8VktQ0m/#match-summary,22,FC Koln,Bayern Munich,1,4,Away,0,3,Away,35,65,1,18,0,5,0,12,1,1,6,6,0,5,2,1,2,0,4,5,0.0,1.0,158.0,296.0,8.0,7.0,24,81,13,41,,,,,,
https://www.scoreboard.com/game/8vmVFTnr/#match-summary,20,Mainz,Bayern Munich,1,3,Away,1,3,Away,29,71,4,7,1,4,3,2,0,1,5,6,2,2,1,1,1,0,4,4,,,149.0,379.0,9.0,5.0,49,78,14,30,,,,,,
https://www.scoreboard.com/game/A7XxdTd2/#match-summary,26,Dusseldorf,Paderborn,0,0,Draw,0,0,Draw,55,45,4,4,1,1,2,2,1,1,9,9,1,0,2,0,1,1,8,9,1.0,1.0,306.0,241.0,8.0,5.0,44,51,25,24,,,,,8.0,8.0
https://www.scoreboard.com/game/GUgGSiEc/#match-summary,11,Wolfsburg,Bayer Leverkusen,0,2,Away,0,1,Away,40,60,3,3,0,2,3,1,0,0,6,6,2,0,1,1,1,0,5,5,1.0,1.0,193.0,300.0,9.0,11.0,70,57,18,6,,,,,,
https://www.scoreboard.com/game/zeh4HR5d/#match-summary,12,Bayer Leverkusen,Freiburg,1,1,Draw,1,1,Draw,79,21,16,3,5,1,6,2,5,0,6,3,8,2,1,0,0,4,2,5,,,365.0,99.0,3.0,6.0,65,38,54,6,,,,,,
https://www.scoreboard.com/game/IXvC40q5/#match-summary,24,Union Berlin,Wolfsburg,2,2,Draw,1,0,Home,46,54,1,7,1,1,0,3,0,3,9,1,0,3,0,1,1,0,1,7,0.0,1.0,191.0,224.0,6.0,7.0,52,43,10,20,,,,,,
https://www.scoreboard.com/game/Aymh7pnK/#match-summary,7,Bayern Munich,Hoffenheim,1,2,Away,0,0,Draw,57,43,8,4,2,2,6,0,0,2,9,5,3,1,2,1,2,2,4,8,1.0,0.0,322.0,234.0,7.0,13.0,90,37,49,9,,,285.0,189.0,,
https://www.scoreboard.com/game/4vd2pNv7/#match-summary,7,Bayer Leverkusen,RB Leipzig,1,1,Draw,0,0,Draw,62,38,6,8,5,4,1,4,0,0,8,11,2,0,5,4,4,5,5,3,1.0,0.0,361.0,180.0,12.0,12.0,85,48,36,18,,,302.0,122.0,,
